NAME,CODE,HEIGHT,CANOPY,OVERHANG
tree buffer,-5,6.858,0.577730382,0.736494799
channel,-1,0,0.165458324,0.492694023
non-tree,-2,0.762,0.577730382,0.736494799
5-10ft,2,2.286,0.577730382,0.736494799
10-15 ft,3,3.81,0.577730382,0.736494799
15-20 ft,4,5.334,0.577730382,0.736494799
20-25 ft,5,6.858,0.577730382,0.736494799
25-30 ft,6,8.382,0.577730382,0.736494799
30-40 ft,7,10.668,0.577730382,0.736494799
40-50 ft,8,13.716,0.577730382,0.736494799
50-60 ft,9,16.764,0.577730382,0.736494799
60-80 ft,10,21.336,0.577730382,0.736494799
80 - 100ft,11,27.432,0.577730382,0.736494799
100+,0,33,0.577730382,0.736494799
110+,1,36,0.577730382,0.736494799
